Query,Semantic_Result,Semantic_Score,BM25_Result,BM25_Score,Semantic_Relevant,BM25_Relevant
studio apartment in downtown,"it's the first time on the market in 25 years! top floor, open view, lots of natural light, new paint, open floor plan with one roomy bedroom plus den which may use it as 2 nd bedroom. the bedroom has a huge walking closet with extra vanity, large storage space at the balcony, central a c & heater, and washer & dryer in unit. the community conveniently located with nearby such as restaurants, hospitals, walking distance to la live, staple & convention center, easy access to freeway, close to downtown, k-town, usc, and lots more. must see!!!",0.5218446,"rare opportunity to secure a property full of west newport history steps to world class surfing, lido house, lido village, cannery village, restaurants & shopping. purported to be the first home built on the street in 1945, this vintage cottage with guest apartment quarters has been lovingly enjoyed by the same family for numerous generations. the front cottage is a 2 bedroom, 2 bath configuration with a street fronting patio for entertaining. a second story 1 bedroom 1 bath guest apartment or rental unit is situated upstairs. additionally, there are multiple parking spots in the back. please drive by first and call agent for appointment to view. this is a trust sale, property to be sold ""as is"" current condition with no warranties expressed or implied. value is in the land, this is a major fixer or tear down. no short term rental permit is currently in place.",10.95171052,1,0
family home with garage,"this 4 bedroom 1 bath is ready to move in. entry with tile flooring and metal door with glass. security door to keep breeze passing thru in the evening. kitchen with tile flooring and tile counter top. dining area adjacent to a living room with wood laminate flooring, and double door leading to a cozy family room. large backyard with lots of fruit trees and 2 separate patios can accommodate a large family gathering. new roof recently installed, 3 year old central a c and new water heater. 2 car attached garage with fenced and gated front yard. walking distance to schools, shops, bus stop and only minutes away from the 10 and 210 fwy.",0.60268307,"**beat the summer heat with this beautifully maintained 3-bedroom, 2-bath pool home!** this home offers comfort, space, and versatility. the tastefully converted garage provides a 4 th bedroom with its own full restroom and separate private side entrance, making it ideal for guests, extended family, a home office, or even potential rental income. the centrally located kitchen is perfect for hosting special occasions and staying connected with family and friends. outside, the home is fully fenced and features a sliding front gate, offering ample and secure parking. enjoy peaceful summer days and unforgettable family gatherings in your private backyard oasis, complete with a refreshing pool perfect for relaxing and entertaining all season long. come and see what this home has to offer!",8.544285798,1,1
condo with gym access,"this senior coummunity condo with 1 bed room 1 bath,this unit #30 is in the middle on the 2 rd floor. the living area has a balcony with views of the street, kitchen granite countertops,and bath room countertop,in unit laundry ,water heater. this unit comes one secured and assigned underground parking spaces (#80),elevator access from the parking garage, plenty of the guests parkingis available. this is an amazing location. you can walk to bus stops,banks, supermarkets, library, city park exercise, city hall, garfield hospitals,major medical office buildings and freeway 10. one of occupants must be 55+years old.",0.5749269,"welcome to 3604 estates lane #114. discover resort-style living in this upgraded studio condo nestled in the desirable estates community. the thoughtfully designed space features an upgraded kitchen with quartz counters, electric appliances, vinyl plank flooring, and a private patio for relaxing outdoors. this community offers pickleball and tennis courts, a sparkling pool, spa, sauna, streams, and a clubhouse with a kitchen and pool table. stay active with the fitness gym and enjoy the nearby nature hiking trails alongside the neighborhood horse community. hoa dues include trash, water, and maintenance, making for stress-free living. ideally located close to the beach, shopping, dining, and excellent school options, this condo offers the perfect blend of relaxation, recreation, and convenience in one of the best areas of the south bay. what are you waiting for?",10.71273284,0,1
house with solar panels,"nestled in the heart of hesperia, this spacious 2241 sq. ft. home offers comfort, functionality, and upgrades throughout. featuring 3 bedrooms and 2 bathrooms, the home boasts a newly remodeled kitchen and beautifully updated bathrooms. wood flooring throughout, complemented by classic window shutters that add both style and privacy. a versatile bonus room or office space with a charming barn-style door provides the perfect area for work, hobbies, or additional living space. the fully fenced property offers a backyard designed for enjoyment and utility, complete with two storage sheds, a horseshoe pit, and a designated dog run. the extra-long garage provides ample space for a workshop, boat storage, or additional storage needs, and includes a washer and dryer area with a brand-new utility sink and abundant built-in storage. solar panels help keep electricity costs affordable, making this home both practical and energy efficient. this well-maintained property offers space, upgrades, and versatilityperfect for comfortable everyday living and entertaining. you wont want to miss out on the chance to make this house your home.",0.6355103,"location, location, location great opportunity in the heart of costa mesa this 4 bedrooms 2 baths 2 car garage attached, private laundry room, with a huge pool that i was remodeled 3 years ago new gas furnace, the house was painted inside and outside, lease solar panels ,some fruit trees like orange, mango , limes, guava, banana, peach ,custard apple, very easy access to schools freeways shopping centers, just minutes from world class beaches ,you have to see this house this is the house you been waiting, hope to see you in escrow thank you for showing my listing have a great day",13.36588002,1,1
newly renovated bathroom,"welcome to a beautifully transformed 5-bedroom, 3-bath home where every detail has been thoughtfully upgraded with comfort and elegance in mind. from the moment you walk in, youll notice the sleek tile flooring flowing throughout the entire home, creating a clean, modern feel. the living room features a warm fireplace, perfect for cozy evenings and entertaining guests. step outside and enjoy a well-sized backyard, ready for gatherings, outdoor dining, or quiet evenings under the sky. the property also includes rv parking, offering valuable space and flexibility for vehicles, storage, or travel needs. the fully upgraded kitchen comes with all appliances included, offering both convenience and style from day one. all bathrooms have been remodeled with modern finishes and bidet toilets, providing a spa-like experience at home. a highly desirable downstairs bedroom with a full bathroom is ideal for visiting guests, in-laws, or multigenerational living, offering privacy and functionality. this is truly a move-in-ready home, all of the work has been professionally done for you. no renovations, no stress, just enjoy. from fixtures and flooring to bathrooms and layout, every upgrade was made to enhance lifestyle, comfort, and everyday living. located in a well-established neighborhood close to schools, shopping, dining, and commuter route, this beautifully upgraded home is ready for its new owners to simply step in and start living.",0.65482396,"recent price reduction!!! newly renovated 2 unit property located in san diego! 2 bedroom, 1 bath front unit with a 1 bedroom, 1 bath unit in the back. newly renovated 2 unit property. new roof, appliances, windows and flooring. located near the 94, 805 and 5 freeways. close to downtown, balboa park and shops.",9.393986887,1,0
open floor plan living room,"experience luxury living in this tastefully renovated single level home that features 3 bedrooms, 2 baths, 1485 square feet of living space on a 5750 square foot lot with room for a pool. upon arrival, the home's intentional landscape and well maintained exterior offers a preview of what you'll find past the front gate. enter to a spacious courtyard that is illuminated with string lights and also home to a detached, custom 120 square foot shed that is currently used as an office. the office's finished interior features dual-pane windows, engineered flooring, recessed lighting and a mini-split air conditioning system that all combine to create an ideal work-from-home environment. through the double door entry you are welcomed to an open floor plan where the designer kitchen is the centerpiece. remodeled in 2022 the kitchen features stainless steel appliances, farmhouse sink, new cabinets with soft closing doors and drawers, a pantry and built-in desk off adjacent to the dining area. the kitchen island is well proportioned to the space and provides more storage with built-in cabinets, room to seat four, additional counter space and an aesthetically pleasing waterfall countertop. the open concept design is best illustrated by looking around when being near the kitchen sink; from there you can keep an eye on what's going on in the backyard, the dining area, family room, front courtyard and inside the office if the curtains are open. step through the great room's sliding glass door to a sizable backyard with no neighbors behind, a west-northwest orientation perfect to enjoy sunsets and a pergola well suited for al-fresco dining. during 2022 the owners also replaced the water heater, air conditioning condenser and air handling unit, installed engineered wood floors in the main living areas, carpet in the bedrooms, remodeled the hall bath and more - so be sure to check out the feature and upgrade list. with a low hoa, low tax rate, great schools nearby, only minutes from shopping, dining, parks, access to lake mission viejo with all its amenities and being located within a fiberoptic cable service area, this home may jump to the top of your list. come see it before it's gone!",0.59618855,"welcome to this maple ridge retreat, where mature pines and a covered front porch frame breathtaking snow-capped mountain views. built in 2004 and thoughtfully updated, this single-level home offers 3 bedrooms, 3 baths, a large office, and 2123 square feet of sun-filled living space with modern flooring throughout. the open floor plan features a fireplace in living room, a modern kitchen with updated appliances, and a spacious living room with nest smart heating. the primary suite is a private retreat with its own fireplace, dual sinks, soaking tub, separate shower, and walk-in closet. a separate laundry room and attached two-car garage add convenience. outside, the fully fenced backyard offers rock and turf landscaping, fruit trees, a deck with covered porch with bbq space, and room for rv or boat parking. trails, big bear lake, town, and parks are nearbyrelax, savor the mountain views, and feel at home.",8.504243579,1,1
close to public transportation,welcome home! this 2 1 property is conveniently located close to the 60 freeway. come and see this move-in ready,0.4624445,"welcome to 1801 pablo vista, a beautifully remodeled home featuring modern updates and a thoughtfully designed layout for comfortable living. the interior showcases a stunning renovation with stylish finishes, clean lines, and a bright, contemporary feel throughout. situated on an expansive 10200 square feet lot, the property offers exceptional space for outdoor living, entertaining, or future expansion. a two-car garage with interior access provides added convenience and functionality. the oversized lot presents endless possibilities, including gardening, play areas, or additional outdoor amenities. ideally located in san pablo, the home is close to parks, shopping, dining, schools, and community amenities. easy access to major freeways and public transportation makes commuting throughout the bay area convenient.",14.57800185,1,1
spacious closet space,"nestled in the colonies, one of uplands most coveted master-planned communities, this stunning residence offers a rare blend of elegance, comfort, and breathtaking surroundings. located in the highly sought-after kensington neighborhood, this exceptional home spans 3714 square feet of beautifully curated living space with 5 bedrooms and 4 bathrooms, thoughtfully designed for both everyday living and upscale entertaining. from the moment you enter, graceful arched doorways, refinished hardwood floors, and custom built-ins create an inviting atmosphere rich in warmth and architectural character. at the heart of your home lies the expansive chefs kitchen, featuring an oversized granite island, abundant cabinetry, and it effortlessly flows into the family room, where a cozy fireplace sets the stage for memorable gatherings. a downstairs bedroom with a full bathroom offers ideal flexibilityperfect for guests, multi-generational living, and or a private home office. upstairs, a spacious loft provides endless possibilities as a media room, playroom, and or a secondary lounge. your luxurious primary suite is a true sanctuary, complete with dual walk-in closets and a spa-inspired bathroom designed for ultimate relaxation. two additional bedrooms open to a private balcony with sweeping mt. baldy views and share a jack & jill bathroom with a separate vanity area. a fourth upstairs bedroom with its own full bathroom and an oversized laundry room complete the upper level with ease and functionality. step outside to your private backyard retreat, where a sparkling pool and an oversized spa create the perfect setting for entertaining, relaxing, and making unforgettable memories. with solar energy, a 3-car tandem garage, and thoughtful upgrades throughout, this home delivers efficiency and practicality without compromising on style. living in the colonies allows you to enjoy scenic walking trails, lush parks, mountain views, and convenient access to premier shopping, dining, and local favorites. this is more than just a homeits a lifestyle. an exceptional opportunity and a true must-see.",0.53108966,"as you enter the unit, you're immediately welcomed by an open-concept living and dining area, warmed by a charming fireplace in the living room. come home to relax in a space featuring wood-like floors and beam-accented ceilings. step onto the adorable balconyperfect for letting in a refreshing cross breeze. the beautiful kitchen boasts stone countertops, a terracotta tile backsplash, an over-the-range microwave, and generous counter space on either side of the stovean ideal setup to flex your culinary muscles for family and friends. as you move past the kitchen, you'll find an ample linen closet and a laundry closet with space for a side-by-side washer and dryer. to your right, just before the bedroom, is a grand bathroom featuring a stone countertop vanity with abundant counter space and an exquisite tile-walled shower-tub combo. at the end of the hallway, the spacious bedroom awaits, complete with a large closet. all of this, plus access to a pool and located just a few blocks from ventura blvd and everything it has to offer.",3.629439231,1,1
energy efficient appliances,"brand new, energy-efficient home available by jan 2026! residence 1 boasts open-concept living areas providing you with all the space you need. enjoy cooking in the spacious kitchen that overlooks the great room, dining nook and outside patio. the primary suite features dual vanity sinks and walk-in closet. prado is located in the heart of temecula and is now selling with designer-decorated model homes. these detached homes offer spacious, open-concept floorplans, chef-inspired kitchens and outdoor space. every home boasts energy-efficient features such as multispeed heating ventilation and air conditioning systems, spray foam insulation, and high-performing air filtration so you can spend less on utility bills and more on the things that matter most. each of our homes is built with innovative, energy-efficient features designed to help you enjoy more savings, better health, real comfort and peace of mind.",0.5418782,"welcome to newport pointe, a new home net zero - all electric community by century communities. this is a two story - south facing lot. plan 4 offers 2833 square feet of living space with a total of 5 bedrooms, 3.5 bathrooms, loft, multi-gen suite and 2 car bay garage. home includes cabinets with an espresso finish, convenience pkgs, concealed hinges and satin nickel hardware. the kitchen offers granite counter tops with a 3 x 6 tile back splash. stainless steel kitchen aid appliances with an electric range. appliances include refrigerator, washer and dryer. additional features include tub at primary bedroom, laundry room cabinets, blinds, solar lease and purchase options, net zero energy package which includes energy efficient water heater & furnace and car charger 40 amp with receptacle. century home connect, 3 14 base boards, luxury vinyl plank (lvp) at first floor including multigen suite, bathrooms and laundry room - excludes bedrooms, carpet in bedrooms, stairs and hallway upstairs. newport point offers the perfect balance of small-town charm and resort-style living. residents will enjoy a wide variety of community amenities designed to elevate everyday life and create memorable experiences.",10.46693801,1,1
historic home with character,"vintage home with good vibes, this is a turn-key property that is move in ready. large windows all around. ocean and meadow views, large fenced in yard, and lots of privacy. located near the starr community center, schools, shopping, restaurants, trails, beaches, and a movie theater. hi speed wifi. city water and sewer. pest work has been done. plumbing and electrical have been upgraded. this is a great starter home and a must see.",0.48729032,"step back in time and into timeless craftsmanship in this early-1900 s tudor french normandystyle craftsman, nestled in one of san diegos most coveted neighborhoods. rich with character and architectural integrity, the home showcases original gumwood paneling throughout, a feature nearly impossible to replicate today and a true testament to the artistry of a bygone era. (see supplement) facing west, the property enjoys peek views of downtown san diego and the harbor, with golden afternoon light that enhances the warmth and texture of the homes historic details. this is a residence that invites restorationan opportunity to thoughtfully revive a classic to its original glory while honoring its authentic design. an attached casita adds exceptional flexibility, ideal for multi-generational living, guests, or creative use, further enhancing the propertys long-term value and versatility. beyond its charm, this property offers extraordinary upside. the lot is zoned rm-3-7 under complete communities tier 2, allowing for significant density and presenting a rare redevelopment or apartment opportunity in a supply-constrained, high-demand urban location. centrally located just south of laurel street, this home sits moments from balboa park, downtown, the waterfront, dining, and cultural destinationsyet remains tucked within the historic elegance that defines bankers hill. whether you are a preservation-minded homeowner, a multi-generational buyer, or a forward-thinking developer, this is a once-in-a-generation offeringwhere history, views, and future potential converge.",11.86432866,1,1
gated community with security,"this 3-bedroom, 2-bath home in a gated community is a fantastic opportunity for first-time homebuyers or growing families. the home offers a practical, comfortable layout with plenty of space to make your own. enjoy the privacy and security of a gated setting, while being conveniently close to parks, schools, shopping, dining, and major freeways for easy commuting throughout the los angeles area. a wonderful chance to start your homeownership journey in an established, welcoming community.",0.4485208,"this 3-bedroom, 2-bath home in a gated community is a fantastic opportunity for first-time homebuyers or growing families. the home offers a practical, comfortable layout with plenty of space to make your own. enjoy the privacy and security of a gated setting, while being conveniently close to parks, schools, shopping, dining, and major freeways for easy commuting throughout the los angeles area. a wonderful chance to start your homeownership journey in an established, welcoming community.",10.7708393,1,1
